_gg_out5,_kk2_out5,_kk_out5,_ly2_out5,_o2,_o20,_o21,_o22,_out2,_out5,_out55
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,1,1,1,1,1,1
